"Modified_User","Address.address_line_1","Address.address_line_2","Address.district_city","Address.state_province","Address.postal_Code","Address.country","Address.latitude","Address.longitude","Status","Added_User","ID","Record_Status","Modified_Time","Added_Time"
"Z:steven@dynamicdigitalsolutions.com.au","2/14 Machans Lane","","Maroochydore","QLD","4558","Australia","-26.6601823","153.0769931","Active","Z:steven@dynamicdigitalsolutions.com.au","3829120000001559014","0","1634717513000","1634717513000"
"Z:steven@dynamicdigitalsolutions.com.au","Lake Mungo","","","SA","","Australia","-33.72162455","143.072531261621","Active","Z:steven@dynamicdigitalsolutions.com.au","3829120000001568005","0","1634874246000","1634874246000"
"P:halsy023@mymail.unisa.edu.au","Mt Borradaile","","West Arnhem","NT","","","-12.4602634","133.399855198864","Active","P:halsy023@mymail.unisa.edu.au","3829120000001591030","0","1635385004000","1635385004000"
"P:halsy023@mymail.unisa.edu.au","","","Hugh","NT","0872","Australia","-24.2991214","133.561247076035","Active","P:halsy023@mymail.unisa.edu.au","3829120000001591045","0","1635385557000","1635385557000"
"Z:steven@dynamicdigitalsolutions.com.au","1a Elwick Road","","Glenorchy","Tasmania","","Australia","","","Active","Z:steven@dynamicdigitalsolutions.com.au","3829120000001598008","0","1635454538000","1635454538000"
"Z:steven@dynamicdigitalsolutions.com.au","Uluru","","","Northern Territory","0872","Australia","-25.3455545","131.036961474702","Active","Z:steven@dynamicdigitalsolutions.com.au","3829120000001598022","0","1635454861000","1635454861000"
"Z:steven@dynamicdigitalsolutions.com.au","Wilpena Pound","","Via Hawker ","SA ","5434","Australia","-31.8871956","138.4226859","Active","Z:steven@dynamicdigitalsolutions.com.au","3829120000001602002","0","1635458490000","1635458490000"
"P:halsy023@mymail.unisa.edu.au","153 Venner Street","","Fairfield","QLD","4103","Australia","-27.51248085","153.022802422586","Active","P:halsy023@mymail.unisa.edu.au","3829120000001603008","0","1635462343000","1635462343000"
"P:halsy023@mymail.unisa.edu.au","","","Booleroo Centre","SA","5482","Australia","-32.879367","138.3510455","Active","P:halsy023@mymail.unisa.edu.au","3829120000001619008","0","1635924999000","1635924999000"
"P:halsy023@mymail.unisa.edu.au","Bunjil's Shelter, Bunjils Cave Rd","","Black Range","VIC","3381","Australia","-37.139356","142.7333654","Active","P:halsy023@mymail.unisa.edu.au","3829120000001621012","0","1635924934000","1635924934000"
"P:halsy023@mymail.unisa.edu.au","Mount Lofty","","Cleland","SA","5152","Australia","-34.97336335","138.698755196853","Active","P:halsy023@mymail.unisa.edu.au","3829120000001621028","0","1635926290000","1635926290000"
"P:halsy023@mymail.unisa.edu.au","Flinders Ranges","","","SA","5434","Australia","-31.7667829514137","138.589799813316","Active","P:halsy023@mymail.unisa.edu.au","3829120000001623014","0","1635987470000","1635987470000"
"P:halsy023@mymail.unisa.edu.au","Coorong","","","SA","5264","Australia","-35.9188963","139.457149971198","Active","P:halsy023@mymail.unisa.edu.au","3829120000001623022","0","1635987473000","1635987473000"
"P:halsy023@mymail.unisa.edu.au","Wollombi","","","NSW","2325","Australia","-32.8884895","151.2643272","Active","P:halsy023@mymail.unisa.edu.au","3829120000001623036","0","1635988338000","1635988338000"
"P:halsy023@mymail.unisa.edu.au","Cherryville","","","SA","5134","Australia","-34.8977627962468","138.766490405851","Active","P:halsy023@mymail.unisa.edu.au","3829120000001623052","0","1635989615000","1635989615000"
"P:halsy023@mymail.unisa.edu.au","Yundi","","Yundi","SA","5172","","-35.3194109","138.6079003","Active","P:halsy023@mymail.unisa.edu.au","3829120000001642008","0","1636526713000","1636526713000"
"P:halsy023@mymail.unisa.edu.au","Coongie Lakes National Park","","Innamincka","SA","5731","Australia","-27.745643","140.7375818","Active","P:halsy023@mymail.unisa.edu.au","3829120000001642022","0","1636533772000","1636533772000"
"P:halsy023@mymail.unisa.edu.au","Wilpena Rd","","Via Hawker","SA","5434","Australia","-31.8867099","138.4237462","Active","P:halsy023@mymail.unisa.edu.au","3829120000001656008","0","1636705872000","1636705872000"
"P:halsy023@mymail.unisa.edu.au","Kings Park and Botanic Garden","Fraser Ave","Perth","WA","6055","Australia","-31.9516597","115.8603414","Active","P:halsy023@mymail.unisa.edu.au","3829120000001657008","0","1636760444000","1636760444000"
"P:halsy023@mymail.unisa.edu.au","red banks conservation park","","Clare Valley","SA","","Australia","-33.8333914","138.6120042","Active","P:halsy023@mymail.unisa.edu.au","3829120000001658008","0","1636775809000","1636775809000"
