"Artifact#RECORD_LINK_ID#BASE","Historical_Site#RECORD_LINK_ID#REF"
"3829120000001568009","3829120000001568013"
"3829120000001591034","3829120000001591038"
"3829120000001591049","3829120000001591053"
"3829120000001597006","3829120000001591053"
"3829120000001598028","3829120000001598025"
"3829120000001602008","3829120000001602005"
"3829120000001603014","3829120000001603011"
"3829120000001605002","3829120000001598025"
"3829120000001619014","3829120000001619011"
"3829120000001621018","3829120000001621015"
"3829120000001621020","3829120000001602005"
"3829120000001621034","3829120000001621031"
"3829120000001623020","3829120000001623017"
"3829120000001623028","3829120000001623025"
"3829120000001623042","3829120000001623039"
"3829120000001623044","3829120000001623025"
"3829120000001623058","3829120000001623055"
"3829120000001642014","3829120000001642011"
"3829120000001642028","3829120000001642025"
"3829120000001656014","3829120000001656011"
"3829120000001657014","3829120000001657011"
"3829120000001658014","3829120000001658011"
