"Artifact#RECORD_LINK_ID#BASE","Tag#RECORD_LINK_ID#REF"
"3829120000001568009","3829120000001569044"
"3829120000001573003","3829120000001569036"
"3829120000001573003","3829120000001569044"
"3829120000001573003","3829120000001589007"
"3829120000001573003","3829120000001589011"
"3829120000001590010","3829120000001589003"
"3829120000001590010","3829120000001589007"
"3829120000001591034","3829120000001569044"
"3829120000001591049","3829120000001569044"
"3829120000001597006","3829120000001589011"
"3829120000001598014","3829120000001569028"
"3829120000001598014","3829120000001569036"
"3829120000001598014","3829120000001569044"
"3829120000001598014","3829120000001589003"
"3829120000001598014","3829120000001589019"
"3829120000001598028","3829120000001569028"
"3829120000001598028","3829120000001569032"
"3829120000001598028","3829120000001569036"
"3829120000001598028","3829120000001569044"
"3829120000001598028","3829120000001589003"
"3829120000001598028","3829120000001589007"
"3829120000001598028","3829120000001589011"
"3829120000001598028","3829120000001589015"
"3829120000001598028","3829120000001589019"
"3829120000001602008","3829120000001569028"
"3829120000001602008","3829120000001569032"
"3829120000001602008","3829120000001569036"
"3829120000001602008","3829120000001569044"
"3829120000001602008","3829120000001589003"
"3829120000001602008","3829120000001589007"
"3829120000001602008","3829120000001589011"
"3829120000001602008","3829120000001589015"
"3829120000001602008","3829120000001589019"
"3829120000001603014","3829120000001589015"
"3829120000001605002","3829120000001569028"
"3829120000001605002","3829120000001569032"
"3829120000001605002","3829120000001569036"
"3829120000001605002","3829120000001569044"
"3829120000001605002","3829120000001589003"
"3829120000001605002","3829120000001589007"
"3829120000001605002","3829120000001589011"
"3829120000001605002","3829120000001589015"
"3829120000001605002","3829120000001589019"
"3829120000001619014","3829120000001589019"
"3829120000001621018","3829120000001569036"
"3829120000001621018","3829120000001569044"
"3829120000001621018","3829120000001589007"
"3829120000001621020","3829120000001569036"
"3829120000001621020","3829120000001569044"
"3829120000001621020","3829120000001589007"
"3829120000001621034","3829120000001569036"
"3829120000001623020","3829120000001569036"
"3829120000001623028","3829120000001569036"
"3829120000001623028","3829120000001589011"
"3829120000001623042","3829120000001569028"
"3829120000001623042","3829120000001569036"
"3829120000001623044","3829120000001569036"
"3829120000001623044","3829120000001589011"
"3829120000001623058","3829120000001569036"
"3829120000001642014","3829120000001569036"
"3829120000001642028","3829120000001569036"
"3829120000001642028","3829120000001569044"
"3829120000001656014","3829120000001569036"
"3829120000001656014","3829120000001569044"
"3829120000001657014","3829120000001569036"
"3829120000001657014","3829120000001569044"
"3829120000001658014","3829120000001569036"
"3829120000001658014","3829120000001569044"
